Head Start Santiago y Lima,Headstart,Naguabo,2.00,1,1,,
Su Ana Joaquina Ortiz Ortiz,PublicSchool,Orocovis,2.00,1,1,,
Maria Davila Semidey,PublicSchool,Patillas,2.00,2,0,,
Josefa Velez Bauza (Superior Urbana),PublicSchool,Peñuelas,2.00,2,0,,
Liceo Ponceño,PrivateSchool,Ponce,2.00,2,0,,
Urban Strategies Early Head Start-PR,Headstart,Ponce,2.00,2,0,,
Capitanejo,PublicSchool,Ponce,2.00,2,0,,
Bethzaida Velazquez Superior,PublicSchool,Ponce,2.00,2,0,,
Eugenio Le Compte Benitez,PublicSchool,Ponce,2.00,2,0,,
Ccda Garabatos Inc.,Childcare,Ponce,2.00,2,0,,
Ramon Emeterio Betances,PublicSchool,Quebradillas,2.00,2,0,,
Juan Alejo Arizmendi,PublicSchool,Quebradillas,2.00,1,1,,
Rincon Christian Academy,PrivateSchool,Rincón,2.00,1,1,,
THE KINGDOM CHRISTIAN ACADEMY,PrivateSchool,Rio Grande,2.00,2,0,,
Rafael Rexach Dueño,PublicSchool,Rio Grande,2.00,2,0,,
Antera Rosado Fuentes,PublicSchool,Rio Grande,2.00,2,0,,
Las Mareas,PublicSchool,Salinas,2.00,2,0,,
Coqui (Intermedia),PublicSchool,Salinas,2.00,2,0,,
Eugenio Guerra Cruz,PublicSchool,Salinas,2.00,2,0,,
Superior Urbana,PublicSchool,Salinas,2.00,1,1,,
Felix Garay Ortiz,PublicSchool,Salinas,2.00,1,1,,
Julio V Guzman,PublicSchool,San Germán,2.00,2,0,,
Lola Rodriguez De Tio,PublicSchool,San Germán,2.00,2,0,,
Instituto Desarrollo Del Niño,Childcare,San Juan,2.00,2,0,,
Academia San Ignacio De Loyola,PrivateSchool,San Juan,2.00,2,0,,
Colegio Lourdes,PrivateSchool,San Juan,2.00,2,0,,
Colegio San Jose,PrivateSchool,San Juan,2.00,2,0,,
"Crearte, Inc.",PrivateSchool,San Juan,2.00,2,0,,
Escuela Municipal Bilingue The School Of San Juan,PrivateSchool,San Juan,2.00,2,0,,
Las Americas,PublicSchool,San Juan,2.00,2,0,,
Trina Padilla De Sanz,PublicSchool,San Juan,2.00,2,0,,
Republica De Colombia,PublicSchool,San Juan,2.00,2,0,,
Instituto Loaiza Cordero,PublicSchool,San Juan,2.00,2,0,,
Fray Bartolome De Las Casas,PublicSchool,San Juan,2.00,2,0,,
Luz Eneida Colon,PublicSchool,San Juan,2.00,2,0,,
Head Start Villa Esperanza,Headstart,San Juan,2.00,1,1,,
Instituto Modelo De Enseñanza Individualizada,PrivateSchool,San Juan,2.00,1,1,,
Gabriela Mistral,PublicSchool,San Juan,2.00,1,1,,
Villa Capri,PublicSchool,San Juan,2.00,1,1,,
Escuela Alianza Vimenti School,PrivateSchool,San Juan,2.00,0,2,,
Ccda Centro Desarrollo Preescolar Administracion Central Upr,Childcare,San Juan,2.00,0,2,,
Antonio Fernos Isern,PublicSchool,San Lorenzo,2.00,1,1,,
Tomas Maso Rivera Morales,PublicSchool,Toa Alta,2.00,2,0,,
Lurgrea Central College Inc.,PrivateSchool,Toa Baja,2.00,2,0,,
New Generation School,PrivateSchool,Trujillo Alto,2.00,1,1,,
Jose Pagan De Jesus,PublicSchool,Vega Alta,2.00,2,0,,
"Ccda Better Grades Tutoring Services, Inc",Childcare,Vega Alta,2.00,1,1,,
Angel Sandin Martinez,PublicSchool,Vega Baja,2.00,2,0,,
Colegio Nuestra Señora Del Rosario,PrivateSchool,Vega Baja,2.00,2,0,,
Rafael Hernandez,PublicSchool,Vega Baja,2.00,1,1,,
Ramon Lopez Berrios,PublicSchool,Villalba,2.00,2,0,,
Colegio Dr. Roque Díaz Tizol,PrivateSchool,Yabucoa,2.00,2,0,,
Su Andres Sandin,PublicSchool,Yabucoa,2.00,2,0,,
Su Asuncion Lugo,PublicSchool,Yabucoa,2.00,1,1,,
Su Jesus T Sanabria Cruz,PublicSchool,Yabucoa,2.00,1,1,,
Headstart Calabazas,Headstart,,1.00,1,0,,
El Faro Christian Academy,PrivateSchool,Adjuntas,1.00,1,0,,
Hector I Rivera,PublicSchool,Adjuntas,1.00,1,0,,
Rafael Aparicio Jimenez,PublicSchool,Adjuntas,1.00,1,0,,
Head Start Yahuecas,Headstart,Adjuntas,1.00,0,1,,
Colegio Aguadeño San Francisco De Asis,PrivateSchool,Aguada,1.00,1,0,,
Head Start Naranjo,Headstart,Aguada,1.00,1,0,,
Anselmo Villarrubia,PublicSchool,Aguada,1.00,1,0,,
Juan Lino Santiago,PublicSchool,Aguada,1.00,1,0,,
Academia Adventista Del Noroeste,PrivateSchool,Aguadilla,1.00,1,0,,
